parameter,dimension_0,dimension_1,name_0,name_1,value,str_value
surface_distance_prop_base,footpath,,Footpath %,,20,
surface_distance_prop_project,on-road,,On-road (no provision) %,,70,
surface_distance_prop_project,bikelane,,On-road Bicycle lane %,,10,
surface_distance_prop_project,bikeway,,Off-road path %,,0,
surface_distance_prop_project,footpath,,Footpath %,,20,
trip_distance_change,Bicycle,,Bicycle,,0,
trip_distance_change,Pedestrian,,Pedestrian,,0,
trip_distance_change,e-Bike,,e-Bike,,0,
trip_distance_change,e-Scooter,,e-Scooter,,0,
transport_share,Bicycle,,Bicycle,,75,
transport_share,Pedestrian,,Pedestrian,,75,
transport_share,e-Bike,,e-Bike,,75,
transport_share,e-Scooter,,e-Scooter,,75,
speed_active,Bicycle,on-road,Bicycle,On-road (no provision),17,
speed_active,Bicycle,bikelane,Bicycle,On-road Bicycle lane,20,
speed_active,Bicycle,bikeway,Bicycle,Off-road path,25,
speed_active,Bicycle,footpath,Bicycle,Footpath,17,
speed_active,Pedestrian,on-road,Pedestrian,On-road (no provision),6,
speed_active,Pedestrian,bikelane,Pedestrian,On-road Bicycle lane,6,
speed_active,Pedestrian,bikeway,Pedestrian,Off-road path,7.5,
speed_active,Pedestrian,footpath,Pedestrian,Footpath,6,
speed_active,e-Bike,on-road,e-Bike,On-road (no provision),17,
speed_active,e-Bike,bikelane,e-Bike,On-road Bicycle lane,20,
speed_active,e-Bike,bikeway,e-Bike,Off-road path,25,
speed_active,e-Bike,footpath,e-Bike,Footpath,17,
speed_active,e-Scooter,on-road,e-Scooter,On-road (no provision),17,
speed_active,e-Scooter,bikelane,e-Scooter,On-road Bicycle lane,20,
speed_active,e-Scooter,bikeway,e-Scooter,Off-road path,25,
speed_active,e-Scooter,footpath,e-Scooter,Footpath,17,
speed_from_mode,Car,,motor vehicle,,35,
speed_from_mode,Transit,,transit,,27.5,
time_saving,Bicycle,,Bicycle,,0,
time_saving,Pedestrian,,Pedestrian,,0,
time_saving,e-Bike,,e-Bike,,0,
time_saving,e-Scooter,,e-Scooter,,0,
relative_risk,Bicycle,on-road,Bicycle,On-road (no provision),1,
relative_risk,Bicycle,bikelane,Bicycle,On-road Bicycle lane,0.65,
relative_risk,Bicycle,bikeway,Bicycle,Off-road path,0.1,
relative_risk,Bicycle,footpath,Bicycle,Footpath,0.65,
relative_risk,Pedestrian,on-road,Pedestrian,On-road (no provision),1,
relative_risk,Pedestrian,bikelane,Pedestrian,On-road Bicycle lane,0.65,
relative_risk,Pedestrian,bikeway,Pedestrian,Off-road path,0.1,
relative_risk,Pedestrian,footpath,Pedestrian,Footpath,0.65,
relative_risk,e-Bike,on-road,e-Bike,On-road (no provision),1,
relative_risk,e-Bike,bikelane,e-Bike,On-road Bicycle lane,0.65,
relative_risk,e-Bike,bikeway,e-Bike,Off-road path,0.1,
relative_risk,e-Bike,footpath,e-Bike,Footpath,0.65,
relative_risk,e-Scooter,on-road,e-Scooter,On-road (no provision),1,
relative_risk,e-Scooter,bikelane,e-Scooter,On-road Bicycle lane,0.65,
relative_risk,e-Scooter,bikeway,e-Scooter,Off-road path,0.1,
relative_risk,e-Scooter,footpath,e-Scooter,Footpath,0.65,
vott,,,,,17.4,
health_system,Bicycle,,Bicycle,,0.56,
health_system,Pedestrian,,Pedestrian,,1.13,
health_system,e-Bike,,e-Bike,,0.56,
health_system,e-Scooter,,e-Scooter,,0,
health_private,Bicycle,,Bicycle,,1.03,
health_private,Pedestrian,,Pedestrian,,2.1,
health_private,e-Bike,,e-Bike,,1.03,
health_private,e-Scooter,,e-Scooter,,0,
voc_active,Bicycle,,Bicycle,,0.102150511,
voc_active,Pedestrian,,Pedestrian,,0,
voc_active,e-Bike,,e-Bike,,0.102150511,
voc_active,e-Scooter,,e-Scooter,,0.102150511,
voc_car,,,,,0.591582097,
congestion_cost,busy,,Busy,,1.383609542,
congestion_cost,medium,,Medium,,0.97916983,
congestion_cost,light,,Light,,0.255435608,
crash_cost_active,Bicycle,,Bicycle,,1.1,
crash_cost_active,Pedestrian,,Pedestrian,,1.66,
crash_cost_active,e-Bike,,e-Bike,,1.1,
crash_cost_active,e-Scooter,,e-Scooter,,1.1,
crash_cost_from_mode,Car,,motor vehicle,,0.24,
crash_cost_from_mode,Transit,,transit,,0.05,
injury_cost,Fatality,,fatality,,8746548.369,
injury_cost,Serious Injury,,injury,,608178.302,
car_externalities,Noise,,noise,,0.006788302,
car_externalities,Air quality,,air quality,,0.00865636,
car_externalities,Greenhouse gas emissions,,greenhouse gas emissions,,0.01598,
road_provision,,,,,0.062,
parking_cost,,,,,0.027578595,
demand_ramp_up,,,,,5,
facility_type_existing,,,,,,on-road
facility_type_new,,,,,,bikeway
facility_name,,,,,,Exampleville Bikeway
subtract_project_length,,,,,,TRUE
number_of_intersections,,,,,0,
capital_cost,2019,,,,10000000,
capital_cost,2020,,,,0,
capital_cost,2021,,,,0,
capital_cost,2022,,,,0,
capital_cost,2023,,,,0,
capital_cost,2024,,,,0,
capital_cost,2025,,,,0,
capital_cost,2026,,,,0,
capital_cost,2027,,,,0,
capital_cost,2028,,,,0,
capital_cost,2029,,,,0,
capital_cost,2030,,,,0,
capital_cost,2031,,,,0,
capital_cost,2032,,,,0,
capital_cost,2033,,,,0,
capital_cost,2034,,,,0,
capital_cost,2035,,,,0,
capital_cost,2036,,,,0,
capital_cost,2037,,,,0,
capital_cost,2038,,,,0,
capital_cost,2039,,,,0,
capital_cost,2040,,,,0,
capital_cost,2041,,,,0,
capital_cost,2042,,,,0,
capital_cost,2043,,,,0,
capital_cost,2044,,,,0,
capital_cost,2045,,,,0,
capital_cost,2046,,,,0,
capital_cost,2047,,,,0,
capital_cost,2048,,,,0,
operating_cost,2019,,,,0,
operating_cost,2020,,,,100000,
operating_cost,2021,,,,100000,
operating_cost,2022,,,,100000,
operating_cost,2023,,,,100000,
operating_cost,2024,,,,100000,
operating_cost,2025,,,,100000,
operating_cost,2026,,,,100000,
operating_cost,2027,,,,100000,
operating_cost,2028,,,,100000,
operating_cost,2029,,,,100000,
operating_cost,2030,,,,100000,
operating_cost,2031,,,,100000,
operating_cost,2032,,,,100000,
operating_cost,2033,,,,100000,
operating_cost,2034,,,,100000,
operating_cost,2035,,,,100000,
operating_cost,2036,,,,100000,
operating_cost,2037,,,,100000,
operating_cost,2038,,,,100000,
operating_cost,2039,,,,100000,
operating_cost,2040,,,,100000,
operating_cost,2041,,,,100000,
operating_cost,2042,,,,100000,
operating_cost,2043,,,,100000,
operating_cost,2044,,,,100000,
operating_cost,2045,,,,100000,
operating_cost,2046,,,,100000,
operating_cost,2047,,,,100000,
operating_cost,2048,,,,100000,
intersection_inputs,0,Expected 10-year fatalities (base case),,,1,
intersection_inputs,0,Expected 10-year injuries (base case),,,4,
intersection_inputs,0,Risk reduction % (project case),,,10,
intersection_inputs,1,Expected 10-year fatalities (base case),,,1,
intersection_inputs,1,Expected 10-year injuries (base case),,,3,
intersection_inputs,1,Risk reduction % (project case),,,20,
